group_value,n,weighted_n,y_qn26_weighted_rate,y_qn26_ci95_low_approx,y_qn26_ci95_high_approx,y_qn26_missing_rate,x_qn24_missing_rate,x_qn25_missing_rate
cat_1,559,1194.6222,0.381443,0.353859,0.409027,0.0,0.059034,0.025045
cat_2,466,939.6225,0.405229,0.373782,0.436677,0.0,0.012876,0.008584
cat_3,440,857.7598,0.431305,0.398095,0.464514,0.0,0.006818,0.002273
cat_4,479,1059.1376,0.367504,0.338421,0.396586,0.0,0.010438,0.008351
cat_5,6,8.6503,0.109985,-0.152952,0.372922,0.0,0.0,0.0
<NA>,50,110.9494,0.500533,0.406034,0.595032,0.0,0.36,0.16
