value,count,proportion
cat_4,527,0.2635
cat_5,511,0.2555
cat_6,504,0.252
cat_3,238,0.119
cat_7,211,0.1055
<NA>,5,0.0025
cat_1,2,0.001
cat_2,2,0.001
