feature_name,mean_importance_neg_brier_score,sd_importance_neg_brier_score,mean_importance_roc_auc,sd_importance_roc_auc,mean_rank_neg_brier_score,sd_rank_neg_brier_score,folds_present,coefficient_of_variation_neg_brier_score,fold_consistency_flag,fold_consistency_all_folds
q2,0.022013939541483802,0.001782971398310011,0.07858119532273732,0.009601936332189302,1.0,0.0,5,0.08099283615048185,True,True
x_qn25,0.014915388007078778,0.0014635393618522526,0.04576090447771504,0.004376586967766861,2.0,0.0,5,0.09812278173103262,True,True
x_qn24,0.01307607056836722,0.0009907731427831578,0.04150462262530826,0.002047692184738247,3.0,0.0,5,0.07576994461776398,True,True
raceeth,0.0034863205911940995,0.00044477448576212534,0.01250997440271058,0.0009522687570809943,4.0,0.0,5,0.1275770469547626,True,True
q1,0.00050118847770006,0.000387936785275338,0.0021704691253197,0.0015602173731768235,5.2,0.44721359549995787,5,0.7740337269036374,True,True
q3,0.00019672120244560682,0.00021895896644654158,0.0007715223099673589,0.0005705392433568038,5.8,0.44721359549995787,5,1.113042029656582,False,True
