feature_name,mean_importance_neg_brier_score,sd_importance_neg_brier_score,mean_importance_roc_auc,sd_importance_roc_auc,mean_rank_neg_brier_score,sd_rank_neg_brier_score,folds_present,fold_consistency_all_folds,rank_range_neg_brier_score
q2,0.022013939541483844,0.0017829713983100281,0.07858119532273737,0.009601936332189306,1.0,0.0,5,True,0.0
x_qn25,0.014915388007078817,0.0014635393618522721,0.04576090447771507,0.00437658696776684,2.0,0.0,5,True,0.0
x_qn24,0.013076070568367256,0.000990773142783185,0.04150462262530828,0.0020476921847382592,3.0,0.0,5,True,0.0
raceeth,0.003486320591194165,0.00044477448576210355,0.012509974402710625,0.0009522687570809965,4.0,0.0,5,True,0.0
q1,0.000501188477700111,0.00038793678527534206,0.0021704691253197515,0.0015602173731768404,5.2,0.44721359549995787,5,True,0.44721359549995787
q3,0.0001967212024456429,0.00021895896644657893,0.00077152230996742,0.0005705392433568221,5.8,0.44721359549995787,5,True,0.44721359549995787
