split_scope,model,featureset,calibration_method,roc_auc,pr_auc,brier,calibration_slope,calibration_intercept,delta_roc_auc_vs_logreg_baseline,delta_pr_auc_vs_logreg_baseline,delta_brier_vs_logreg_baseline,delta_calibration_slope_vs_logreg_baseline,delta_calibration_intercept_vs_logreg_baseline,source_metrics_path
cv_mean,logreg,full,none,0.7179257281559301,0.63724042807833,0.2127218736838213,0.9860288161423864,-0.3715671662219051,0.06691165610987992,0.10270302056847902,-0.01970244291371498,0.004335820832872317,9.560642940387165e-05,outputs/metrics/metrics_cv_seed2026_logreg_full_none.csv
cv_mean,hgb,full,none,0.716003646478123,0.6350462455332839,0.2068507700127101,1.0429686233682742,0.0146919563189076,0.06498957443207276,0.10050883802343291,-0.02557354658482619,0.06127562805876019,0.3863547289702166,outputs/metrics/metrics_cv_seed2026_hgb_full_none.csv
heldout_test,logreg,full,none,0.7155339884751405,0.6434740054645649,0.2125580509437364,0.9741714857572604,-0.3686225929125293,0.06571212711646168,0.09599765985878883,-0.01942660952167291,-0.013002885443354373,-0.004811379574635399,outputs/metrics/metrics_test_seed2026_logreg_full_none.csv
heldout_test,hgb,full,none,0.7160570232463979,0.644072658477789,0.2061780047208133,1.0463013851153766,0.0279777522751759,0.06623516188771905,0.09659631287201298,-0.025806655744596008,0.05912701391476183,0.3917889656130698,outputs/metrics/metrics_test_seed2026_hgb_full_none.csv
