value,count,proportion
87717,516,0.258
16294,275,0.1375
86636,256,0.128
86932,187,0.0935
86284,165,0.0825
87952,158,0.079
88413,130,0.065
58418,113,0.0565
87028,94,0.047
58391,79,0.0395
58675,27,0.0135
