value,count,proportion
cat_7,537,0.2685
cat_5,536,0.268
cat_6,253,0.1265
cat_3,218,0.109
cat_8,140,0.07
cat_1,122,0.061
<NA>,109,0.0545
cat_2,73,0.0365
cat_4,12,0.006
